vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
286;10.0.5.96;255.255.255.240;10.0.5.97/28;10.0.5.97;10.0.5.110;10.0.5.111;0.0.0.15
287;10.0.5.112;255.255.255.240;10.0.5.113/28;10.0.5.113;10.0.5.126;10.0.5.127;0.0.0.15
288;10.0.5.128;255.255.255.240;10.0.5.129/28;10.0.5.129;10.0.5.142;10.0.5.143;0.0.0.15
289;10.0.5.144;255.255.255.240;10.0.5.145/28;10.0.5.145;10.0.5.158;10.0.5.159;0.0.0.15
290;10.0.5.160;255.255.255.240;10.0.5.161/28;10.0.5.161;10.0.5.174;10.0.5.175;0.0.0.15
291;10.0.5.176;255.255.255.240;10.0.5.177/28;10.0.5.177;10.0.5.190;10.0.5.191;0.0.0.15
292;10.0.5.192;255.255.255.240;10.0.5.193/28;10.0.5.193;10.0.5.206;10.0.5.207;0.0.0.15
293;10.0.5.208;255.255.255.240;10.0.5.209/28;10.0.5.209;10.0.5.222;10.0.5.223;0.0.0.15
294;10.0.5.224;255.255.255.240;10.0.5.225/28;10.0.5.225;10.0.5.238;10.0.5.239;0.0.0.15
295;10.0.5.240;255.255.255.240;10.0.5.241/28;10.0.5.241;10.0.5.254;10.0.5.255;0.0.0.15
296;10.0.6.0;255.255.255.240;10.0.6.1/28;10.0.6.1;10.0.6.14;10.0.6.15;0.0.0.15
297;10.0.6.16;255.255.255.240;10.0.6.17/28;10.0.6.17;10.0.6.30;10.0.6.31;0.0.0.15
298;10.0.6.32;255.255.255.240;10.0.6.33/28;10.0.6.33;10.0.6.46;10.0.6.47;0.0.0.15
299;10.0.6.48;255.255.255.240;10.0.6.49/28;10.0.6.49;10.0.6.62;10.0.6.63;0.0.0.15
300;10.0.6.64;255.255.255.240;10.0.6.65/28;10.0.6.65;10.0.6.78;10.0.6.79;0.0.0.15
301;10.0.6.80;255.255.255.240;10.0.6.81/28;10.0.6.81;10.0.6.94;10.0.6.95;0.0.0.15
302;10.0.6.96;255.255.255.240;10.0.6.97/28;10.0.6.97;10.0.6.110;10.0.6.111;0.0.0.15
303;10.0.6.112;255.255.255.240;10.0.6.113/28;10.0.6.113;10.0.6.126;10.0.6.127;0.0.0.15
304;10.0.6.128;255.255.255.240;10.0.6.129/28;10.0.6.129;10.0.6.142;10.0.6.143;0.0.0.15
305;10.0.6.144;255.255.255.240;10.0.6.145/28;10.0.6.145;10.0.6.158;10.0.6.159;0.0.0.15
306;10.0.6.160;255.255.255.240;10.0.6.161/28;10.0.6.161;10.0.6.174;10.0.6.175;0.0.0.15
307;10.0.6.176;255.255.255.240;10.0.6.177/28;10.0.6.177;10.0.6.190;10.0.6.191;0.0.0.15
308;10.0.6.192;255.255.255.240;10.0.6.193/28;10.0.6.193;10.0.6.206;10.0.6.207;0.0.0.15
309;10.0.6.208;255.255.255.240;10.0.6.209/28;10.0.6.209;10.0.6.222;10.0.6.223;0.0.0.15
310;10.0.6.224;255.255.255.240;10.0.6.225/28;10.0.6.225;10.0.6.238;10.0.6.239;0.0.0.15
311;10.0.6.240;255.255.255.240;10.0.6.241/28;10.0.6.241;10.0.6.254;10.0.6.255;0.0.0.15
312;10.0.7.0;255.255.255.240;10.0.7.1/28;10.0.7.1;10.0.7.14;10.0.7.15;0.0.0.15
313;10.0.7.16;255.255.255.240;10.0.7.17/28;10.0.7.17;10.0.7.30;10.0.7.31;0.0.0.15
314;10.0.7.32;255.255.255.240;10.0.7.33/28;10.0.7.33;10.0.7.46;10.0.7.47;0.0.0.15
315;10.0.7.48;255.255.255.240;10.0.7.49/28;10.0.7.49;10.0.7.62;10.0.7.63;0.0.0.15
316;10.0.7.64;255.255.255.240;10.0.7.65/28;10.0.7.65;10.0.7.78;10.0.7.79;0.0.0.15
317;10.0.7.80;255.255.255.240;10.0.7.81/28;10.0.7.81;10.0.7.94;10.0.7.95;0.0.0.15
318;10.0.7.96;255.255.255.240;10.0.7.97/28;10.0.7.97;10.0.7.110;10.0.7.111;0.0.0.15
319;10.0.7.112;255.255.255.240;10.0.7.113/28;10.0.7.113;10.0.7.126;10.0.7.127;0.0.0.15
320;10.0.7.128;255.255.255.240;10.0.7.129/28;10.0.7.129;10.0.7.142;10.0.7.143;0.0.0.15
321;10.0.7.144;255.255.255.240;10.0.7.145/28;10.0.7.145;10.0.7.158;10.0.7.159;0.0.0.15
322;10.0.7.160;255.255.255.240;10.0.7.161/28;10.0.7.161;10.0.7.174;10.0.7.175;0.0.0.15
323;10.0.7.176;255.255.255.240;10.0.7.177/28;10.0.7.177;10.0.7.190;10.0.7.191;0.0.0.15
324;10.0.7.192;255.255.255.240;10.0.7.193/28;10.0.7.193;10.0.7.206;10.0.7.207;0.0.0.15
325;10.0.7.208;255.255.255.240;10.0.7.209/28;10.0.7.209;10.0.7.222;10.0.7.223;0.0.0.15
326;10.0.7.224;255.255.255.240;10.0.7.225/28;10.0.7.225;10.0.7.238;10.0.7.239;0.0.0.15
327;10.0.7.240;255.255.255.240;10.0.7.241/28;10.0.7.241;10.0.7.254;10.0.7.255;0.0.0.15
328;10.0.8.0;255.255.255.240;10.0.8.1/28;10.0.8.1;10.0.8.14;10.0.8.15;0.0.0.15
329;10.0.8.16;255.255.255.240;10.0.8.17/28;10.0.8.17;10.0.8.30;10.0.8.31;0.0.0.15
